_col0,primary_category
123,brasserie
167,brazilian_jiu_jitsu_club
19275,brazilian_restaurant
67902,breakfast_and_brunch_restaurant
47304,brewery
191,brewing_supply_store
47256,bridal_shop
39011,bridge
3181,british_restaurant
49655,broadcasting_media_production
8149,brokers
1,bubble_soccer_field
31993,bubble_tea
102333,buddhist_temple
33599,buffet_restaurant
14777,builders
10858,building_contractor
129129,building_supply_store
628,bulgarian_restaurant
12,bulk_billing
2,bungee_jumping_center
149508,burger_restaurant
479,burmese_restaurant
1287,bus_rentals
4488,bus_service
69559,bus_station
50,bus_ticket_agency
1704,bus_tours
36930,business
61484,business_advertising
323,business_banking_service
1675,business_brokers
6524,business_consulting
4941,business_equipment_and_supply
256,business_financing
2752,business_law
80206,business_management_services
90883,business_manufacturing_and_supply
1070,business_office_supplies_and_stationery
1191,business_records_storage_and_management
947,business_schools
1181,business_signage
1022,business_storage_and_transportation
31868,business_to_business
12915,business_to_business_services
121874,butcher_shop
43,cabaret
24523,cabin
8024,cabinet_sales_service
221,cable_car_service
712611,cafe
1,cafeteria
3412,cajun_and_creole_restaurant
26,calligraphy
717,cambodian_restaurant
96493,campground
89212,campus_building
589,canadian_restaurant
1905,canal
1641,cancer_treatment_center
1501,candle_store
59851,candy_store
7248,cannabis_clinic
2,cannabis_collective
4879,cannabis_dispensary
4,cannabis_tour
4478,canoe_and_kayak_hire_service
4,canteen
11,canyon
327,car_auction
1771,car_broker
666,car_buyer
392317,car_dealer
4004,car_inspection
77077,car_rental_agency
2523,car_sharing
346,car_stereo_installation
8498,car_stereo_store
59063,car_wash
11861,car_window_tinting
82,cardio_classes
21489,cardiologist
624,cardiovascular_and_thoracic_surgeon
2515,cards_and_stationery_store
5758,career_counseling
6722,caribbean_restaurant
18,caricature
50690,carpenter
14737,carpet_cleaning
896,carpet_installation
63755,carpet_store
28,cartooning_museum
34750,casino
133,casting_molding_and_machining
8490,castle
148,catalan_restaurant
67345,caterer
82080,catholic_church
3551,cave
221,ceiling_and_roofing_repair_and_service
1108,ceiling_service
1133,cement_supplier
514,cemeteries
139892,central_government_office
111,ceremonial_clothing
148,certification_agency
34,challenge_courses_center
16,chamber_of_handicraft
296,chambers_of_commerce
200,champagne_bar
57645,charity_organization
139,charter_school
5075,check_cashing_payday_loans
24,cheerleading
10154,cheese_shop
6,cheese_tasting_classes
554,cheesesteak_restaurant
38083,chemical_plant
106543,chicken_restaurant
2629,chicken_wings_restaurant
9712,child_care_and_day_care
1030,child_protection_service
719,child_psychiatrist
104,childbirth_education
26,childproofing
15,children_hall
122437,childrens_clothing_store
482,childrens_hospital
576,childrens_museum
146,chilean_restaurant
2,chimney_cake_shop
164,chimney_service
3709,chimney_sweep
155,chinese_martial_arts_club
167431,chinese_restaurant
93462,chiropractor
20933,chocolatier
2165,choir
2748,christmas_trees
840901,church_cathedral
41,cidery
65,cigar_bar
60357,cinema
3343,circus
26,circus_school
466,civic_center
3390,civil_engineers
70,civil_examinations_academy
226,civil_rights_lawyers
816,civilization_museum
1817,cleaning_products_supplier
4218,cleaning_services
3,climbing_class
104,climbing_service
5500,clinical_laboratories
173,clock_repair_service
37,closet_remodeling
11159,clothing_company
5497,clothing_rental
718527,clothing_store
34,clown
4,club_crawl
338,coach_bus
544,coal_and_coke
46365,cocktail_bar
138,coffee_and_tea_supplies
204,coffee_roastery
547868,coffee_shop
185,coin_dealers
3051,collection_agencies
98,college_counseling
389059,college_university
1536,colombian_restaurant
33,colonics
9261,comedy_club
8729,comfort_food_restaurant
11392,comic_books_store
161568,commercial_industrial
1305,commercial_printer
28836,commercial_real_estate
11396,commercial_refrigeration
2521,commercial_vehicle_dealer
686,commissioned_artist
97074,community_center
87,community_gardens
266,community_health_center
807,community_museum
705732,community_services_non_profits
23556,computer_coaching
52602,computer_hardware_company
663,computer_museum
84933,computer_store
3741,computer_wholesaler
5,concept_shop
33,concierge_medicine
1312,condominium
1066,construction_management
272266,construction_services
2487,consultant_and_general_service
18,contemporary_art_museum
744,contract_law
241171,contractor
325612,convenience_store
7377,convents_and_monasteries
435,cooking_classes
7648,cooking_school
750,copywriting_service
238,corporate_entertainment_services
77,corporate_gift_supplier
15320,corporate_office
148581,cosmetic_and_beauty_supplies
28113,cosmetic_dentist
154,cosmetic_products_manufacturer
2256,cosmetic_surgeon
4151,cosmetology_school
39,costa_rican_restaurant
95,costume_museum
12121,costume_store
19968,cottage
180,cotton_mill
119093,counseling_and_mental_health
15752,countertop_installation
198,country_club
21,country_dance_hall
47,country_house
53096,courier_and_delivery_services
396,court_reporter
32517,courthouse
2402,coworking_space
586,cpr_classes
1704,craft_shop
1624,crane_services
6946,credit_and_debt_counseling
41587,credit_union
6233,cremation_services
2378,cricket_ground
14640,criminal_defense_law
258,crisis_intervention_services
602,crops_production
146,cryotherapy
26,csa_farm
1988,cuban_restaurant
37974,cultural_center
20272,cupcake_shop
19164,currency_exchange
2,curry_sausage_restaurant
227,custom_cakes_shop
2451,custom_clothing
1124,custom_t_shirt_store
2470,customized_merchandise
383,customs_broker
2033,cycling_classes
752,czech_restaurant
7059,dairy_farm
1020,dairy_stores
1,dam
8619,damage_restoration
102365,dance_club
104408,dance_school
1458,dance_wear
8,danish_restaurant
2797,data_recovery
154313,day_care_preschool
11975,day_spa
667,debt_relief_services
1562,deck_and_railing_sales_service
131,decorative_arts_museum
67538,delicatessen
2220,demolition_service
206,denim_wear_store
77,dental_hygienist
1147,dental_laboratories
911,dental_supply_store
523851,dentist
162,dentistry_schools
6840,department_of_motor_vehicles
34,department_of_social_service
85915,department_store
29316,dermatologist
27,desert
266,design_museum
6856,designer_clothing
98361,desserts
18930,diagnostic_imaging
13695,diagnostic_services
9140,dialysis_clinic
63,diamond_dealer
654,dietitian
567,digitizing_services
4498,dim_sum_restaurant
181261,diner
29,dinner_theater
177,direct_mail_advertising
2074,disability_law
12562,disability_services_and_support_organization
1867,disc_golf_course
97426,discount_store
489,display_home_center
6960,distillery
6095,distribution_services
2001,dive_bar
414,dive_shop
1359,diving_center
26770,divorce_and_family_law
12,diy_auto_shop
47,diy_foods_restaurant
3284,dj_service
268,do_it_yourself_store
338198,doctor
9881,dog_park
13258,dog_trainer
2465,dog_walkers
2,domestic_airports
1125,domestic_business_and_trade_organizations
203,dominican_restaurant
447,donation_center
10213,doner_kebab
17094,donuts
2939,door_sales_service
57,doula
430,drama_school
57,drinking_water_dispenser
5204,drive_in_theater
67,drive_thru_bar
5758,driving_range
79324,driving_school
163,drone_store
4122,drugstore
53692,dry_cleaning
4125,drywall_services
662,dui_law
31,dui_school
